ServiceCallID	Subject	CustomerCode	CustomerName	ContactCode	ManufacturerSerialNum	InternalSerialNum	ContractID	ResolutionDate	ResolutionTime	Origin	ItemCode	ItemDescription	Status	Priority	CallType	ProblemType	AssigneeCode	Description	TechnicianCode	Resolution	CreationDate	CreationTime	BelongsToAQueue	ClosingTime	Queue	ClosingDate	Series	DocNum	HandWritten	StartDate	StartTime	EndDueDate	EndTime	Duration	DurationType	Reminder	ReminderPeriod	ReminderType	Location	AddressName	AddressType	Street	City	Room	State	Country	DisplayInCalendar	CustomerRefNo	ProblemSubType	AttachmentEntry	ServiceBPType	BPContactPerson	BPPhone1	BPPhone2	BPCellular	BPFax	BPeMail	BPProjectCode	BPTerritory	BPShipToCode	BPShipToAddress	BPBillToCode	BPBillToAddress
callID	subject	customer	custmrName	contctCode	manufSN	internalSN	contractID	resolDate	resolTime	origin	itemCode	itemName	status	priority	callType	problemTyp	assignee	descrption	technician	resolution	createDate	createTime	isQueue	closeTime	Queue	closeDate	Series	DocNum	Handwrtten	StartDate	StartTime	EndDate	EndTime	Duration	DurType	Reminder	RemQty	RemType	Location	AddrName	AddrType	Street	City	Room	State	Country	DisplInCal	NumAtCard	ProSubType	AtcEntry	BPType	BPContact	BPPhone1	BPPhone2	BPCellular	BPFax	BPE_Mail	BPProjCode	BPTerrit	BPShipCode	BPShipAddr	BPBillCode	BPBillAddr
