EquipmentCardNum	CustomerCode	CustomerName	ContactEmployeeCode	DirectCustomerCode	DirectCustomerName	ManufacturerSerialNum	InternalSerialNum	ItemCode	ItemDescription	DeliveryCode	InvoiceCode	Street	Block	ZipCode	City	County	CountryCode	StateCode	InstallLocation	BuildingFloorRoom	StatusOfSerialNumber	ReplaceSN	ReplacedBySN	DefaultTechnician	Defaultterritory	AttachmentEntry	StreetNo	ServiceBPType
insID	customer	custmrName	contactCod	directCsmr	drctCsmNam	manufSN	internalSN	itemCode	itemName	delivery	invoice	street	block	zip	city	county	country	state	instLction	Building	status	replcIns	repByIns	technician	territory	AtcEntry	StreetNo	BPType
