ParentKey	LineNum	CashFlowLineItemID	Credit	PaymentMeans	CheckNumber	AmountLC	AmountFC	JDTLineId	JDTId
BatchNum	LineNum	CFWId	Credit	PaymentMen	PaymentRef	Debit	FCDebit	JDTLineId	JDTId
