ParentKey	LineNum	ItemCode	ItemQuantity	ItemPrice	PriceCurrency	ItemWarehouse	ActiveAccountCode	WorkSum
OrderNum	LineNum	ItemCode	Quantity	Price	Currency	WhsCode	ActWorkCod	ActWorkSum
