Number	GroupName	InventoryAccount	CostAccount	TransfersAccount	RevenuesAccount	VarianceAccount	DecreasingAccount	IncreasingAccount	ReturningAccount	ExpensesAccount	EURevenuesAccount	EUExpensesAccount	ForeignRevenuesAccount	ForeignExpensesAccount	ExemptRevenuesAccount	CycleCode	Alert	PriceDifferencesAccount	ExchangeRateDifferencesAccount	GoodsClearingAccount	PurchaseAccount	PAReturnAccount	PurchaseOffsetAccount	ShippedGoodsAccount	VATInRevenueAccount	DecreaseGLAccount	IncreaseGLAccount	InventorySystem	PlanningSystem	ProcurementMethod	OrderInterval	OrderMultiple	MinimumOrderQuantity	LeadTime	StockInflationAdjustAccount	StockInflationOffsetAccount	WIPMaterialAccount	WIPMaterialVarianceAccount	CostInflationAccount	CostInflationOffsetAccount	ExpenseClearingAct	ExpenseOffsetAccount	SalesCreditAcc	SalesCreditForeignAcc	SalesCreditEUAcc	ExemptedCredits	PurchaseCreditAcc	ForeignPurchaseCreditAcc	EUPurchaseCreditAcc	NegativeInventoryAdjustmentAccount	StockInTransitAccount	WHIncomingCenvatAccount	WHOutgoingCenvatAccount
ItmsGrpCod	ItmsGrpNam	BalInvntAc	SaleCostAc	TransferAc	RevenuesAc	VarianceAc	DecreasAc	IncreasAc	ReturnAc	ExpensesAc	EURevenuAc	EUExpensAc	FrRevenuAc	FrExpensAc	ExmptIncom	CycleCode	Alert	PriceDifAc	ExchangeAc	BalanceAcc	PurchaseAc	PAReturnAc	PurchOfsAc	ShpdGdsAct	VatRevAct	DecresGlAc	IncresGlAc	InvntSys	PlaningSys	PrcrmntMtd	OrdrIntrvl	OrdrMulti	MinOrdrQty	LeadTime	StokRvlAct	StkOffsAct	WipAcct	WipVarAcct	CostRvlAct	CstOffsAct	ExpClrAct	ExpOfstAct	ARCMAct	ARCMFrnAct	ARCMEUAct	ARCMExpAct	APCMAct	APCMFrnAct	APCMEUAct	NegStckAct	StkInTnAct	WhICenAct	WhOCenAct
