ParentKey	LineNum	TributaryType	TTStartDate	TTEndDate	TributaryRegimeCode	TRCStartDate	TRCEndDate
BPLID	LineNum	TributType	TTStartDat	TTEndDate	TribRegCod	TRCStartD	TRCEndDate
