ParentKey	LineNum	ExpenseCode	LineTotal	Remarks	DistributionMethod	TaxLiable	VatGroup	TaxPercent	TaxSum	DeductibleTaxSum	TaxCode	TaxType	EqualizationTaxPercent	EqualizationTaxSum	BaseDocEntry	BaseDocLine	BaseDocType	LastPurchasePrice	Stock	WTLiable	DistributionRule	Project	DistributionRule2	DistributionRule3	DistributionRule4	DistributionRule5
DocNum	LineNum	ExpnsCode	LineTotal	Comments	DistrbMthd	TaxStatus	VatGroup	VatPrcnt	VatSum	DedVatSum	TaxCode	TaxType	EquVatPer	EquVatSum	BaseAbsEnt	BaseLnNum	BaseRef	LstPchPrce	Stock	WTLiable	OcrCode	Project	OcrCode2	OcrCode3	OcrCode4	OcrCode5
