WarehouseCode	WarehouseName	StockAccount	CostOfGoodsSold	TransfersAcc	RevenuesAccount	VarianceAccount	DecreasingAccount	IncreasingAcc	ReturningAccount	ExpenseAccount	EURevenuesAccount	EUExpensesAccount	ForeignRevenuesAcc	ForeignExpensesAccount	TaxGroup	Street	Block	ZipCode	City	County	Country	State	Location	DropShip	ExemptRevenuesAccount	AllowUseTax	PriceDifferencesAccount	ExchangeRateDifferencesAccount	GoodsClearingAcc	PurchaseAccount	PurchaseReturningAccount	PurchaseOffsetAccount	FederalTaxID	BuildingFloorRoom	ShippedGoodsAccount	VATInRevenueAccount	DecreaseGLAccount	IncreaseGLAccount	Nettable	StockInflationAdjustAccount	StockInflationOffsetAccount	WIPMaterialAccount	WIPMaterialVarianceAccount	CostInflationAccount	CostInflationOffsetAccount	ExpensesClearingAccount	ExpenseOffsetingAct	SalesCreditAcc	SalesCreditForeignAcc	SalesCreditEUAcc	ExemptedCredits	PurchaseCreditAcc	ForeignPurchaseCreditAcc	EUPurchaseCreditAcc	NegativeInventoryAdjustmentAccount	StockInTransitAccount	Excisable	WHIncomingCenvatAccount	WHOutgoingCenvatAccount	WHShipToName
WhsCode	WhsName	BalInvntAc	SaleCostAc	TransferAc	RevenuesAc	VarianceAc	DecreasAc	IncreasAc	ReturnAc	ExpensesAc	EURevenuAc	EUExpensAc	FrRevenuAc	FrExpensAc	VatGroup	Street	Block	ZipCode	City	County	Country	State	Location	DropShip	ExmptIncom	UseTax	PriceDifAc	ExchangeAc	BalanceAcc	PurchaseAc	PAReturnAc	PurchOfsAc	FedTaxID	Building	ShpdGdsAct	VatRevAct	DecresGlAc	IncresGlAc	Nettable	StokRvlAct	StkOffsAct	WipAcct	WipVarAcct	CostRvlAct	CstOffsAct	ExpClrAct	ExpOfstAct	ARCMAct	ARCMFrnAct	ARCMEUAct	ARCMExpAct	APCMAct	APCMFrnAct	APCMEUAct	NegStckAct	StkInTnAct	Excisable	WhICenAct	WhOCenAct	WhShipTo
