ParentKey	LineNum	LogInstance	UserNo4	BPCode	County	State	UserNo2	IBAN	ZipCode	City	Block	Branch	Country	Street	ControlKey	UserNo3	BankCode	AccountNo	UserNo1	InternalKey	BuildingFloorRoom	BIK	AccountName	CorrespondentAccount	Phone	Fax	CustomerIdNumber	ISRBillerID	ISRType	BICSwiftCode	ABARoutingNumber	MandateID	SignatureDate	MandateExpDate	SEPASeqType
CardCode	LineNum	LogInstanc	UsrNumber4	CardCode	County	State	UsrNumber2	IBAN	ZipCode	City	Block	Branch	Country	Street	ControlKey	UsrNumber3	BankCode	Account	UsrNumber1	AbsEntry	Building	BIK	AcctName	CorresAcct	Phone	Fax	CustIdNum	ISRBillerI	ISRType	SwiftNum	ABARoutNum	MandateID	SignDate	MandatDate	SeqType
