ParentKey	LineNum	ObjectType	NoofCopies	AddPrint	AddExport	TotalsRounding	PermanentRemark	PrintTotals	PrintVendorCatalogNo	PrintDiscountData	NoofCopiesforManualDoc	EnglishKeyboardEnteringItem	EnglishKeyboardEnteringBPC
Code	LineNum	ObjType	Copies	PrintOnAdd	ExprtOnAdd	RoundSums	Remark	PrintSums	VndrNum	PrnDscnt	HandCopies	EngKBItem	EngKBCard
