ParentKey	ParentKey2	LineNum	PriceCurrency	AutoUpdate	Dateto	Discount	SpecialPrice	DateFrom	PriceListNo	RowNumber
ItemCode	CardCode	LineNum	Currency	AutoUpdt	ToDate	Discount	Price	FromDate	ListNum	LINENUM
