ParentKey	LineNum	LineNumber	GroupCode	ExpenseCode	LineTotal	TaxLiable	VatGroup	TaxPercent	TaxSum	DeductibleTaxSum	TaxCode	TaxType	EqualizationTaxPercent	EqualizationTaxSum	WTLiable	BaseGroup	DistributionRule	Project	DistributionRule2	DistributionRule3	DistributionRule4	DistributionRule5
DocNum	LineNum	LineNum	GroupNum	ExpnsCode	LineTotal	TaxStatus	VatGroup	VatPrcnt	VatSum	DedVatSum	TaxCode	TaxType	EquVatPer	EquVatSum	WtLiable	BaseGroup	OcrCode	Project	OcrCode2	OcrCode3	OcrCode4	OcrCode5
