ParentKey	LineNum	SalesPerson	StartDate	ClosingDate	StageKey	PercentageRate	MaxLocalTotal	Remarks	DocumentNumber	DocumentType	DocumentCheckbox	ContactPerson	BPChanelName	BPChanelCode	DataOwnershipfield	BPChannelContact
SequentialNo	LineNum	SlpCode	OpenDate	CloseDate	Step_Id	ClosePrcnt	MaxSumLoc	Memo	DocId	ObjType	DocChkbox	CntctCode	ChnCrdName	ChnCrdCode	Owner	ChnCrdCon
