PaymentMethodCode	Description	Type	PaymentMeans	CheckAddress	CheckBankDetails	CollectionAuthorizationCheck	BlockForeignPayment	BlockForeignBank	CurrencyRestriction	PostOfficeBank	MinimumAmount	MaximumAmount	DefaultBank	BankCountry	DefaultAccount	KeyCode	TransactionType	Format	AgentCollection	SendforAcceptance	GroupByDate	DepositNorm	DebitMemo	GroupByPaymentReference	GroupInvoicesbyPay	DueDateSelection	PaymentTermsCode	PosttoGLInterimAccount	DocType	Accepted	PortfolioID	CurCode	Instruction1	Instruction2	PaymentPlace	BarcodeDll
PayMethCod	Descript	Type	BankTransf	Address	BankDet	CllctAutor	FrgnPmntBl	FrgnBnkBl	CurrRestr	PostOffBnk	MinAmount	MaxAmount	BnkDflt	BankCountr	DflAccount	KeyCode	TrnsType	Format	AgtCollect	SendAccept	GrpByDate	DepNorm	DebitMemo	GroupPmRef	GroupInv	ValDateSel	PaymTerms	IntrimAcct	DocType	Accepted	PtfID	CurCode	Instruct1	Instruct2	PaymntPlc	BoeDll
