ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	Currency	Rate	DiscountPercent	VendorNum	SerialNumber	WarehouseCode	ProjectCode	Factor	Factor2	Factor3	Factor4	DistributionRule	UseBaseUnits	MeasureUnit	UnitsOfMeasurment
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	Currency	Rate	DiscPrcnt	VendorNum	SerialNum	WhsCode	Project	Factor1	Factor2	Factor3	Factor4	OcrCode	UseBaseUn	unitMsr	NumPerMsr
