AbsoluteEntry	AccNo	Branch	NextCheckNo	GLAccount	Street	Block	ZipCode	City	County	State	BISR	ControlKey	UserNo1	UserNo2	UserNo3	UserNo4	IBAN	DebtofDiscountedBillofExc	ToleranceDays	MinAmountofBillofExchang	MaxAmountofBillofExchan	DiscountLimit	DaysInAdvance	BankonCollection	BankonDiscounted	Building	GLInterimAccount	PrintOn	MaximumLines	TemplateName	BankKey	LockChecksPrinting	OurNumber	AgreementNumber	AccountCheckDigit	ISRType	ISRBillerID	CustomerIdNumber	IncomingPaymentSeries	OutgoingPaymentSeries	JournalEntrySeries	ImportFileName	AddressType	StreetNo
AbsEntry	Account	Branch	NextCheck	GLAccount	Street	Block	ZipCode	City	County	State	BISR	ControlKey	UsrNumber1	UsrNumber2	UsrNumber3	UsrNumber4	IBAN	DscountBOE	TolrnceDay	MinAmntBOE	MaxAmntBOE	DscntLimit	DaysInAdva	BankCollec	BankDiscou	Building	GLIntriAct	ChkPaper	MaxChkLine	TmpltName	BankKey	LockChk	OurNum	AgreeNum	AccountChk	ISRType	ISRBillerI	CustIdNum	InSeri	OutSeri	JDTSeri	FilePlug	AddrType	StreetNo
