ParentKey	LineNum	UserType	UserCode	NameTo	SendInternal	SendEmail	EmailAddress	SendSMS	CellularNumber	SendFax	FaxNumber
Code	LineNum	ObjType	ObjCode	ObjName	SendIntrnl	SendEMail	E_Mail	SendSMS	PortNum	SendFax	Fax
