AbsoluteEntry	Series	ItemNo	ProductionOrderStatus	ProductionOrderType	PlannedQuantity	PostingDate	DueDate	ProductionOrderOriginEntry	ProductionOrderOrigin	Remarks	ClosingDate	CustomerCode	Warehouse	JournalRemarks	DistributionRule	Project	DistributionRule2	DistributionRule3	DistributionRule4	DistributionRule5	StartDate	ProductDescription	Priority
DocEntry	Series	ItemCode	Status	Type	PlannedQty	PostDate	DueDate	OriginAbs	OriginType	Comments	CloseDate	CardCode	Warehouse	JrnlMemo	OcrCode	Project	OcrCode2	OcrCode3	OcrCode4	OcrCode5	StartDate	ProdName	Priority
