ParentKey	LineNum	BillOfExchangeNo	BillOfExchangeDueDate	Details	ReferenceNo	Remarks	PaymentMethodCode	BPBankCode	BPBankAct	BPBankCountry	PaymentEngineStatus1	PaymentEngineStatus2	PaymentEngineStatus3	StampTaxCode	StampTaxAmount	FolioNumber	FolioPrefixString
DocNum	LineNum	BoeNum	DueDate	Details	RefNum	Comments	PayMethCod	BPBankCod	BPBankAct	BPBankCtr	PayEngSt1	PayEngSt2	PayEngSt3	StampTax	StmpTxAmnt	FolioNum	FolioPref
