ParentKey	LineNum	DistrRuleCode	Dimension	DistrRuleDebitLC	DistrRuleDebitSC	DistrRuleCreditLC	DistrRuleCreditSC
Numerator	LineNum	OcrCode	DimCode	DebLTotal	DebSTotal	CredLTotal	CredSTotal
