Code	Name	CashAccount	BudgetAccount	ActiveAccount	DataExportCode	FatherAccountKey	ExternalCode	RateConversion	TaxLiableAccount	TaxExemptAccount	AccountType	AcctCurrency	Protected	ReconciledAccount	LiableForAdvances	ForeignName	Details	ProjectCode	RevaluationCoordinated	LockManualTransaction	FormatCode	AllowChangeVatGroup	DefaultVatGroup	Category	TransactionCode	LoadingType	LoadingFactorCode	LoadingFactorCode2	LoadingFactorCode3	LoadingFactorCode4	LoadingFactorCode5	PlanningLevel	DatevAccount	DatevAutoAccount	DatevFirstDataEntry	AllowMultipleLinking	ProjectRelevant	DistributionRuleRelevant	DistributionRule2Relevant	DistributionRule3Relevant	DistributionRule4Relevant	DistributionRule5Relevant	BPLID	AccountPurposeCode	ReferentialAccountCode	ValidFor	ValidFrom	ValidTo	ValidRemarks	FrozenFor	FrozenFrom	FrozenTo	FrozenRemarks	BlockManualPosting	CashFlowRelevant	PCN874ReportRelevant	PrimaryClosingAccount	CostAccountingOnly	CostElementRelevant	CostElementCode	StandardAccountCode	TaxonomyCode	IncomeClassificationCategory	IncomeClassificationType	ExpenseClassificationCategory	ExpenseClassificationType
AcctCode	AcctName	Finanse	Budget	Postable	ExportCode	FatherNum	AccntntCod	RateTrans	TaxIncome	ExmIncome	ActType	ActCurr	Protected	RealAcct	Advance	FrgnName	Details	Project	RevalMatch	LocManTran	FormatCode	VatChange	DfltVat	Category	TransCode	OverType	OverCode	OverCode2	OverCode3	OverCode4	OverCode5	PlngLevel	DatevAcct	DatevAutoA	DatevFirst	MultiLink	PrjRelvnt	Dim1Relvnt	Dim2Relvnt	Dim3Relvnt	Dim4Relvnt	Dim5Relvnt	BPLId	PurpCode	RefCode	ValidFor	ValidFrom	ValidTo	ValidComm	FrozenFor	FrozenFrom	FrozenTo	FrozenComm	BlocManPos	CfwRlvnt	PCN874Rpt	PriAccCode	CstAccOnly	CemRelvnt	CemCode	StdActCode	TaxonCode	InClassCat	InClassTyp	ExClassCat	ExClassTyp
