AbsoluteEntry	BankCode	BankName	SwiftNo	IBAN	CountryCode	PostOffice	DefaultBankAccountKey
AbsEntry	BankCode	BankName	SwiftNum	IBAN	CountryCod	PostOffice	DfltActKey
