ParentKey	LineNum	RowNum	VatGroupCode	AmountToDraw	AmountToDrawFC	AmountToDrawSC	GrossAmountToDraw	GrossAmountToDrawFC	GrossAmountToDrawSC
DocNum	LineNum	DocEntry	LineNum	LineSeq	BaseAbs	VatGroup	VatPrcnt	LineTotal	TotalFrgn
