ParentKey	LineNum	DocEntry	AmountToDraw	AmountToDrawFC	AmountToDrawSC	GrossAmountToDraw	GrossAmountToDrawFC	GrossAmountToDrawSC
DocNum	LineNum	BaseAbs	BsDocDate	BsDueDate	BsCardName	BsComments	DrawnSum	Posted
