ParentKey	LineNum	MinimalStock	MaximalStock	MinimalOrder	StandardAveragePrice	Locked	InventoryAccount	CostAccount	TransferAccount	RevenuesAccount	VarienceAccount	DecreasingAccount	IncreasingAccount	ReturningAccount	ExpensesAccount	EURevenuesAccount	EUExpensesAccount	ForeignRevenueAcc	ForeignExpensAcc	ExemptIncomeAcc	PriceDifferenceAcc	WarehouseCode	ExpenseClearingAct	PurchaseCreditAcc	EUPurchaseCreditAcc	ForeignPurchaseCreditAcc	SalesCreditAcc	SalesCreditEUAcc	ExemptedCredits	SalesCreditForeignAcc	ExpenseOffsettingAccount	WipAccount	ExchangeRateDifferencesAcct	GoodsClearingAcct	NegativeInventoryAdjustmentAccount	CostInflationOffsetAccount	GLDecreaseAcct	GLIncreaseAcct	PAReturnAcct	PurchaseAcct	PurchaseOffsetAcct	ShippedGoodsAccount	StockInflationOffsetAccount	StockInflationAdjustAccount	VATInRevenueAccount	WipVarianceAccount	CostInflationAccount	WHIncomingCenvatAccount	WHOutgoingCenvatAccount	StockInTransitAccount
ItemCode	LineNum	MinStock	MaxStock	MinOrder	AvgPrice	Locked	BalInvntAc	SaleCostAc	TransferAc	RevenuesAc	VarianceAc	DecreasAc	IncreasAc	ReturnAc	ExpensesAc	EURevenuAc	EUExpensAc	FrRevenuAc	FrExpensAc	ExmptIncom	PriceDifAc	WhsCode	ExpClrAct	APCMAct	APCMEUAct	APCMFrnAct	ARCMAct	ARCMEUAct	ARCMExpAct	ARCMFrnAct	ExpOfstAct	WipAcct	ExchangeAc	BalanceAcc	NegStckAct	CstOffsAct	DecresGlAc	IncresGlAc	PAReturnAc	PurchaseAc	PurchOfsAc	ShpdGdsAct	StkOffsAct	StokRvlAct	VatRevAct	WipVarAcct	CostRvlAct	WhICenAct	WhOCenAct	StkInTnAct
