ParentKey	LineNum	AccountCode	SumPaid	SumPaidFC	Decription	VatGroup	AccountName	GrossAmount	ProfitCenter	ProjectCode	VatAmount	ProfitCenter2	ProfitCenter3	ProfitCenter4	ProfitCenter5
DocNum	LineNum	AcctCode	SumApplied	AppliedFC	Descrip	VatGroup	AcctName	GrossAmnt	OcrCode	Project	VatAmnt	OcrCode2	OcrCode3	OcrCode4	OcrCode5
