ParentKey	LineNum	PriceList	UoMEntry	ReduceBy	Price	Currency	AdditionalReduceBy1	AdditionalPrice1	AdditionalCurrency1	AdditionalReduceBy2	AdditionalPrice2	AdditionalCurrency2	Auto
ItemCode	LineNum	PriceList	UomEntry	Factor	Price	Currency	Factor1	AddPrice1	Currency1	Factor2	AddPrice2	Currency2	AutoUpdate
