TemplateName	TemplateIsDeleted	TemplateIsRenewal	RemindBeforeRenewal	RemindUnit	DurationOfCoverage	ResolutionTime	ResolutionUnit	Description	ContractType	MondayEnabled	TuesdayEnabled	WednesdayEnabled	ThursdayEnabled	FridayEnabled	SaturdayEnabled	SundayEnabled	MondayStart	MondayEnd	TuesdayStart	TuesdayEnd	WednesdayStart	WednesdayEnd	ThursdayStart	ThursdayEnd	FridayStart	FridayEnd	SaturdayStart	SaturdayEnd	SundayStart	SundayEnd	IncludeParts	IncludeLabor	IncludeTravel	Remarks	IncludeHolidays	ResponseValue	ResponseUnit	AttachmentEntry
TmpltName	Deleted	Renewal	RemindVal	RemindUnit	Duration	ResponsVal	ResponsUnt	Descriptio	CntrctType	MonEnabled	TueEnabled	WedEnabled	ThuEnabled	FriEnabled	SatEnabled	SunEnabled	MonStart	MonEnd	TueStart	TueEnd	WedStart	WedEnd	ThuStart	ThuEnd	FriStart	FriEnd	SatStart	SatEnd	SunStrart	SunEnd	InclParts	InclWork	InclTravel	Remark	InclHldays	ResponseV	ResponseU	AtcEntry
