ParentKey	LineNum	WTCode	WTAmountSys	WTAmountFC	WTAmount	TaxableAmountinSys	TaxableAmountFC	TaxableAmount	AppliedWTAmountSys	AppliedWTAmountFC	AppliedWTAmount	BaseDocEntry	BaseDocLine	BaseDocType
DocNum	LineNum	WTCode	WTAmntSC	WTAmntFC	WTAmnt	TxblAmntSC	TxblAmntFC	TaxbleAmnt	ApplAmntSC	ApplAmntFC	ApplAmnt	BaseAbsEnt	BaseLine	BaseRef
