ParentKey	LineNum	CampaignLineNumber	BPCode	BPName	BPGroupName	BPIndustryName	BPStatus	ContactCode	ContactTitle	ContactPosition	ContactEmail	ContactTelephone	ContactMobile	ContactFax	ContactAddress	Response	RelatedSalesOpportunity	Street	Block	City	ZipCode	County	State	Country	Building
CampaignNumber	LineNum	CampaignLineNumber	BPCode	BPName	BPGroupName	BPIndustryName	BPStatus	ContactCode	ContactTitle	ContactPosition	ContactEmail	ContactTelephone	ContactMobile	ContactFax	ContactAddress	Response	RelatedSalesOpportunity	Street	Block	City	ZipCode	County	State	Country	Building
