ExpensCode	Name	RevenuesAccount	ExpenseAccount	TaxLiable	FixedAmountRevenues	FixedAmountExpenses	OutputVATGroup	InputVATGroup	DistributionMethod	Includein1099	FreightOffsetAccount	DrawingMethod	Stock	LastPurchasePrice	RevenuesExemptedAccount	ExpenseExemptedAccount	FreightType	DistributionRule
ExpnsCode	ExpnsName	RevAcct	ExpnsAcct	TaxLiable	RevFixSum	ExpFixSum	VatGroupO	VatGroupO	DistrbMthd	In1099	ExpOfstAct	BaseMethod	Stock	LstPchPrce	RevExmAcct	ExpnsExAct	ExpnsType	OcrCode
