ParentKey	LineNum	BusinessPartnerCode	BusinessPartnerName	GroupCode	Industry	ActiveStatus	ContactPerson	Title	Position	E_Mail	Telephone	MobilePhone	Fax	Address	Street	Block	City	ZipCode	County	State	Country	Building	ImportedBP	DuplicatedBusinessPartnerCode
TargetGroupCode	LineNum	BusinessPartnerCode	BusinessPartnerName	GroupCode	Industry	ActiveStatus	ContactPerson	Title	Position	E_Mail	Telephone	MobilePhone	Fax	Address	Street	Block	City	ZipCode	County	State	Country	Building	ImportedBP	DuplicatedBusinessPartnerCode
