ParentKey	LineID	LineID	Date	ActivityType	LaborItem	StartTime	EndTime	Workorder	ServiceCall	CostCenter	FinancialProject	Location	GPSData	Branch	Break	NonBillableTime	EffectiveTime	BillableTime	FullDay
AbsEntry	LineID	LineID	Date	ActivityType	LaborItem	StartTime	EndTime	Workorder	ServiceCall	CostCenter	FinancialProject	Location	GPSData	Branch	Break	NonBillableTime	EffectiveTime	BillableTime	FullDay
