ParentKey	LineID	StageID	Area	Priority	Remarks	Closed	SolutionID	Responsible	EnteredBy	EnteredDate	Effort
AbsEntry	LineID	StageID	Area	Priority	Remarks	Closed	SolutionID	Responsible	EnteredBy	EnteredDate	Effort
