Code	Name	InternationalDescription	HundredthName	DocumentsCode	EnglishName	EnglishHundredthName	Rounding	Decimals	RoundingInPayment	PluralInternationalDescription	PluralHundredthName	PluralEnglishName	PluralEnglishHundredthName	MaxIncomingAmtDiff	MaxOutgoingAmtDiff	MaxIncomingAmtDiffPercent	MaxOutgoingAmtDiffPercent
CurrCode	CurrName	ChkName	Chk100Name	DocCurrCod	FrgnName	F100Name	RoundSys	Decimals	RoundPym	ChkNamePl	Chk100NPl	FrgnNamePl	F100NamePl	MaxInDiff	MaxOutDiff	MaxInPcnt	MaxOutPcnt
