ParentKey	LineNum	ItemCode	Quantity	Price	WarehouseCode	DebitCredit	RevaluationDecrementAccount	RevaluationIncrementAccount
DocNum	LineNum	ItemCode	Quantity	Price	WhsCode	RActPrice	RDcrmAcct	RIncmAcct
